,Occupation_Code,Occupation_Title,Total_Employees,Mean_Annual_Wage,Annual_10th_Percentile_Wage,Annual_25th_Percentile_Wage,Annual_Median_Wage,Annual_75th_Percentile_Wage,Annual_90th_Percentile_Wage
113,13-2041,Credit Analysts,"72,930","81,160","40,860","52,510","69,930","96,910","137,730"
114,13-2050,Financial Analysts and Advisors,"575,110","103,050","44,690","58,800","80,940","119,780","197,410"
115,13-2051,Financial Analysts,"281,610","97,640","50,350","62,640","81,760","111,760","165,100"
116,13-2052,Personal Financial Advisors,"201,850","123,100","41,160","57,460","90,530","160,490",#
117,13-2053,Insurance Underwriters,"91,650","75,480","40,160","51,290","67,680","91,780","121,430"
118,13-2060,Financial Examiners,"49,750","88,940","46,400","59,810","79,280","109,160","148,390"
119,13-2061,Financial Examiners,"49,750","88,940","46,400","59,810","79,280","109,160","148,390"
120,13-2070,Credit Counselors and Loan Officers,"339,800","73,570","32,310","43,270","61,030","89,160","128,660"
121,13-2071,Credit Counselors,"34,110","49,480","29,510","35,570","44,380","56,470","75,220"
122,13-2072,Loan Officers,"305,700","76,260","32,820","45,100","63,650","92,610","132,290"
123,13-2080,"Tax Examiners, Collectors and Preparers, and Revenue Agents","128,480","51,080","21,820","30,560","45,300","64,240","90,430"
124,13-2081,"Tax Examiners and Collectors, and Revenue Agents","58,450","57,950","31,860","40,090","52,060","72,090","97,440"
125,13-2082,Tax Preparers,"70,030","45,340","19,600","24,550","36,550","57,880","80,250"
126,13-2090,Miscellaneous Financial Specialists,"123,270","76,230","39,000","51,950","69,470","92,310","118,780"
127,13-2099,"Financial Specialists, All Other","123,270","76,230","39,000","51,950","69,470","92,310","118,780"
128,15-0000,Computer and Mathematical Occupations,"4,165,140","87,880","42,650","59,120","82,830","111,690","141,250"
129,15-1100,Computer Occupations,"3,997,370","87,870","42,560","59,090","82,860","111,770","141,260"
130,15-1110,Computer and Information Research Scientists,"26,580","116,320","64,950","87,400","111,840","140,430","169,680"
131,15-1111,Computer and Information Research Scientists,"26,580","116,320","64,950","87,400","111,840","140,430","169,680"
132,15-1120,Computer and Information Analysts,"665,830","92,260","53,190","67,770","87,960","112,390","139,540"
133,15-1121,Computer Systems Analysts,"568,960","91,620","53,110","67,460","87,220","111,040","137,690"
134,15-1122,Information Security Analysts,"96,870","96,040","53,760","69,840","92,600","119,020","147,290"
135,15-1130,Software Developers and Programmers,"1,604,570","100,080","53,300","71,410","95,830","124,260","155,310"
136,15-1131,Computer Programmers,"271,200","85,180","45,570","61,100","79,840","103,690","130,360"
137,15-1132,"Software Developers, Applications","794,000","104,300","58,300","76,170","100,080","126,940","157,590"
138,15-1133,"Software Developers, Systems Software","409,820","110,590","64,650","83,270","106,860","133,970","163,220"
139,15-1134,Web Developers,"129,540","72,150","35,390","47,580","66,130","91,600","119,550"
140,15-1140,Database and Systems Administrators and Network Architects,"647,610","89,750","50,040","64,320","84,970","111,460","136,970"
141,15-1141,Database Administrators,"113,730","87,130","47,300","62,350","84,950","109,940","129,930"
142,15-1142,Network and Computer Systems Administrators,"376,820","84,500","48,870","61,870","79,700","102,400","127,610"
143,15-1143,Computer Network Architects,"157,070","104,240","55,610","74,970","101,210","128,820","158,590"
144,15-1150,Computer Support Specialists,"791,580","56,600","31,070","39,680","52,160","69,120","90,890"
145,15-1151,Computer User Support Specialists,"602,840","53,100","29,440","37,810","49,390","63,740","82,160"
146,15-1152,Computer Network Support Specialists,"188,740","67,770","37,040","47,550","62,670","82,560","105,910"
147,15-1190,Miscellaneous Computer Occupations,"261,210","88,880","45,410","64,690","86,510","110,590","133,890"
148,15-1199,"Computer Occupations, All Other","261,210","88,880","45,410","64,690","86,510","110,590","133,890"
149,15-2000,Mathematical Science Occupations,"167,770","88,230","44,810","59,620","81,750","109,780","140,900"
150,15-2010,Actuaries,"19,940","114,120","58,910","74,480","100,610","140,190","186,250"
151,15-2011,Actuaries,"19,940","114,120","58,910","74,480","100,610","140,190","186,250"
152,15-2020,Mathematicians,"2,730","105,600","54,890","72,440","105,810","129,730","160,310"
153,15-2021,Mathematicians,"2,730","105,600","54,890","72,440","105,810","129,730","160,310"
154,15-2030,Operations Research Analysts,"109,150","84,340","43,400","57,400","79,200","105,410","132,660"
155,15-2031,Operations Research Analysts,"109,150","84,340","43,400","57,400","79,200","105,410","132,660"
156,15-2040,Statisticians,"33,440","85,160","46,500","60,770","80,500","104,420","130,090"
157,15-2041,Statisticians,"33,440","85,160","46,500","60,770","80,500","104,420","130,090"
158,15-2090,Miscellaneous Mathematical Science Occupations,"2,510","73,700","28,890","36,810","60,290","97,200","151,170"
159,15-2091,Mathematical Technicians,510,"58,490","28,980","36,410","49,660","63,670","100,730"
160,15-2099,"Mathematical Science Occupations, All Other","2,000","77,550","28,890","37,110","65,050","104,370","157,600"
161,17-0000,Architecture and Engineering Occupations,"2,499,050","84,300","42,550","57,540","77,900","104,130","133,440"
162,17-1000,"Architects, Surveyors, and Cartographers","174,720","76,260","40,910","53,110","70,010","92,670","118,750"
163,17-1010,"Architects, Except Naval","119,280","81,920","44,700","57,120","74,850","97,870","126,680"
164,17-1011,"Architects, Except Landscape and Naval","99,860","84,470","46,600","59,000","76,930","99,790","129,810"
165,17-1012,Landscape Architects,"19,420","68,820","38,950","48,990","63,480","83,530","106,770"
166,17-1020,"Surveyors, Cartographers, and Photogrammetrists","55,440","64,070","34,670","45,420","60,200","79,080","98,680"
167,17-1021,Cartographers and Photogrammetrists,"12,100","66,160","39,740","49,100","62,750","79,870","99,800"
168,17-1022,Surveyors,"43,340","63,480","33,630","44,350","59,390","78,800","98,360"
169,17-2000,Engineers,"1,635,420","96,440","55,670","70,190","91,010","117,350","147,670"
170,17-2010,Aerospace Engineers,"68,510","112,010","69,150","85,500","109,650","135,020","160,290"
171,17-2011,Aerospace Engineers,"68,510","112,010","69,150","85,500","109,650","135,020","160,290"
172,17-2020,Agricultural Engineers,"1,980","77,330","45,510","58,500","73,640","92,330","117,130"
173,17-2021,Agricultural Engineers,"1,980","77,330","45,510","58,500","73,640","92,330","117,130"
174,17-2030,Biomedical Engineers,"20,590","89,970","51,050","65,700","85,620","107,850","134,620"
175,17-2031,Biomedical Engineers,"20,590","89,970","51,050","65,700","85,620","107,850","134,620"
176,17-2040,Chemical Engineers,"31,990","105,420","60,770","76,390","98,340","126,050","158,800"
177,17-2041,Chemical Engineers,"31,990","105,420","60,770","76,390","98,340","126,050","158,800"
178,17-2050,Civil Engineers,"287,800","89,730","53,470","65,330","83,540","107,140","132,880"
179,17-2051,Civil Engineers,"287,800","89,730","53,470","65,330","83,540","107,140","132,880"
180,17-2060,Computer Hardware Engineers,"72,950","118,700","66,870","88,290","115,080","146,110","172,010"
181,17-2061,Computer Hardware Engineers,"72,950","118,700","66,870","88,290","115,080","146,110","172,010"
182,17-2070,Electrical and Electronics Engineers,"315,870","100,770","61,240","75,550","96,270","121,640","152,000"
