,Occupation_Code,Occupation_Title,Total_Employees,Mean_Annual_Wage,Annual_10th_Percentile_Wage,Annual_25th_Percentile_Wage,Annual_Median_Wage,Annual_75th_Percentile_Wage,Annual_90th_Percentile_Wage
752,39-7011,Tour Guides and Escorts,"38,660","28,100","18,300","20,600","24,920","33,010","43,060"
753,39-7012,Travel Guides,"3,030","35,930","19,030","25,000","32,100","44,110","58,400"
754,39-9000,Other Personal Care and Service Workers,"2,820,750","25,410","17,490","19,320","22,520","27,620","37,100"
755,39-9010,Childcare Workers,"569,370","22,930","17,190","18,680","21,170","25,490","31,710"
756,39-9011,Childcare Workers,"569,370","22,930","17,190","18,680","21,170","25,490","31,710"
757,39-9020,Personal Care Aides,"1,492,250","22,710","17,310","19,180","21,920","24,860","29,760"
758,39-9021,Personal Care Aides,"1,492,250","22,710","17,310","19,180","21,920","24,860","29,760"
759,39-9030,Recreation and Fitness Workers,"594,280","33,970","18,360","20,810","27,570","41,400","59,230"
760,39-9031,Fitness Trainers and Aerobics Instructors,"257,410","42,780","19,150","24,120","38,160","55,010","72,980"
761,39-9032,Recreation Workers,"336,880","27,230","18,000","19,780","23,870","31,310","41,660"
762,39-9040,Residential Advisors,"110,330","27,690","18,330","21,020","25,570","31,720","39,960"
763,39-9041,Residential Advisors,"110,330","27,690","18,330","21,020","25,570","31,720","39,960"
764,39-9090,Miscellaneous Personal Care and Service Workers,"54,520","27,460","18,490","20,730","25,420","32,290","38,460"
765,39-9099,"Personal Care and Service Workers, All Other","54,520","27,460","18,490","20,730","25,420","32,290","38,460"
766,41-0000,Sales and Related Occupations,"14,536,530","40,560","18,150","20,210","26,590","46,230","78,300"
767,41-1000,Supervisors of Sales Workers,"1,446,900","51,230","25,380","31,920","42,250","59,320","84,900"
768,41-1010,First-Line Supervisors of Sales Workers,"1,446,900","51,230","25,380","31,920","42,250","59,320","84,900"
769,41-1011,First-Line Supervisors of Retail Sales Workers,"1,194,220","43,910","24,530","30,370","39,040","51,250","66,480"
770,41-1012,First-Line Supervisors of Non-Retail Sales Workers,"252,670","85,830","37,730","52,730","73,150","103,840","150,400"
771,41-2000,Retail Sales Workers,"8,791,750","25,250","17,530","19,010","21,570","27,000","37,670"
772,41-2010,Cashiers,"3,564,130","21,710","17,140","18,460","20,200","23,600","28,840"
773,41-2011,Cashiers,"3,541,010","21,680","17,140","18,450","20,180","23,570","28,760"
774,41-2012,Gaming Change Persons and Booth Cashiers,"23,120","25,940","18,500","20,480","23,780","29,720","37,330"
775,41-2020,Counter and Rental Clerks and Parts Salespersons,"699,070","30,750","18,560","21,010","27,030","36,650","49,240"
776,41-2021,Counter and Rental Clerks,"450,330","29,390","18,350","20,800","25,550","34,340","46,740"
777,41-2022,Parts Salespersons,"248,740","33,220","19,090","22,660","29,780","39,890","52,430"
778,41-2030,Retail Salespersons,"4,528,550","27,180","17,810","19,410","22,680","29,480","41,420"
779,41-2031,Retail Salespersons,"4,528,550","27,180","17,810","19,410","22,680","29,480","41,420"
780,41-3000,"Sales Representatives, Services","1,903,140","70,510","26,400","35,950","52,600","81,680","133,660"
781,41-3010,Advertising Sales Agents,"141,100","63,660","24,320","34,380","50,380","76,050","115,430"
782,41-3011,Advertising Sales Agents,"141,100","63,660","24,320","34,380","50,380","76,050","115,430"
783,41-3020,Insurance Sales Agents,"385,700","67,760","27,430","35,500","49,990","77,140","128,070"
784,41-3021,Insurance Sales Agents,"385,700","67,760","27,430","35,500","49,990","77,140","128,070"
785,41-3030,"Securities, Commodities, and Financial Services Sales Agents","353,780","102,260","33,340","41,040","67,310","131,180",#
786,41-3031,"Securities, Commodities, and Financial Services Sales Agents","353,780","102,260","33,340","41,040","67,310","131,180",#
787,41-3040,Travel Agents,"68,680","39,900","20,670","27,030","36,460","48,600","61,890"
788,41-3041,Travel Agents,"68,680","39,900","20,670","27,030","36,460","48,600","61,890"
789,41-3090,"Miscellaneous Sales Representatives, Services","953,870","63,070","25,000","35,230","52,490","77,360","113,950"
790,41-3099,"Sales Representatives, Services, All Other","953,870","63,070","25,000","35,230","52,490","77,360","113,950"
791,41-4000,"Sales Representatives, Wholesale and Manufacturing","1,732,420","73,060","29,040","41,590","60,530","89,800","129,940"
792,41-4010,"Sales Representatives, Wholesale and Manufacturing","1,732,420","73,060","29,040","41,590","60,530","89,800","129,940"
793,41-4011,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products","328,370","92,910","39,930","55,250","78,980","116,800","160,940"
794,41-4012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products","1,404,050","68,410","27,500","39,350","57,140","82,520","121,080"
795,41-9000,Other Sales and Related Workers,"662,330","49,440","19,490","23,310","32,550","58,130","102,430"
796,41-9010,"Models, Demonstrators, and Product Promoters","90,890","30,860","19,200","21,650","25,580","35,930","48,710"
797,41-9011,Demonstrators and Product Promoters,"86,500","30,570","19,420","21,830","25,610","35,610","48,480"
798,41-9012,Models,"4,390","36,560","17,240","19,010","21,870","41,470","52,390"
799,41-9020,Real Estate Brokers and Sales Agents,"192,690","63,590","22,540","30,600","46,410","75,710","124,800"
800,41-9021,Real Estate Brokers,"40,850","79,340","24,370","34,190","56,790","95,030","162,260"
801,41-9022,Real Estate Sales Agents,"151,840","59,360","22,230","29,940","44,090","71,060","112,570"
802,41-9030,Sales Engineers,"74,330","108,880","56,990","74,400","100,000","132,080","166,500"
803,41-9031,Sales Engineers,"74,330","108,880","56,990","74,400","100,000","132,080","166,500"
804,41-9040,Telemarketers,"215,290","27,170","18,330","20,370","24,300","30,480","39,310"
805,41-9041,Telemarketers,"215,290","27,170","18,330","20,370","24,300","30,480","39,310"
806,41-9090,Miscellaneous Sales and Related Workers,"89,120","42,000","20,570","25,450","35,880","51,480","71,040"
807,41-9091,"Door-to-Door Sales Workers, News and Street Vendors, and Related Workers","8,040","28,630","19,120","20,990","24,330","30,820","47,340"
808,41-9099,"Sales and Related Workers, All Other","81,080","43,330","20,810","26,780","37,190","53,150","73,000"
809,43-0000,Office and Administrative Support Occupations,"22,026,080","37,260","20,700","25,760","34,050","45,550","59,190"
810,43-1000,Supervisors of Office and Administrative Support Workers,"1,443,150","57,890","32,950","41,910","54,340","69,260","87,690"
811,43-1010,First-Line Supervisors of Office and Administrative Support Workers,"1,443,150","57,890","32,950","41,910","54,340","69,260","87,690"
812,43-1011,First-Line Supervisors of Office and Administrative Support Workers,"1,443,150","57,890","32,950","41,910","54,340","69,260","87,690"
813,43-2000,Communications Equipment Operators,"101,910","31,130","20,180","23,320","28,640","36,000","46,750"
814,43-2010,"Switchboard Operators, Including Answering Service","90,910","29,720","19,960","22,970","28,030","34,530","42,090"
815,43-2011,"Switchboard Operators, Including Answering Service","90,910","29,720","19,960","22,970","28,030","34,530","42,090"
816,43-2020,Telephone Operators,"8,860","43,030","22,790","28,180","37,000","56,270","66,230"
817,43-2021,Telephone Operators,"8,860","43,030","22,790","28,180","37,000","56,270","66,230"
818,43-2090,Miscellaneous Communications Equipment Operators,"2,150","41,910","24,940","29,810","39,640","52,130","61,720"
819,43-2099,"Communications Equipment Operators, All Other","2,150","41,910","24,940","29,810","39,640","52,130","61,720"
820,43-3000,Financial Clerks,"3,133,030","37,790","22,740","28,220","35,840","45,590","56,310"
821,43-3010,Bill and Account Collectors,"298,960","37,620","23,610","28,460","35,350","44,140","54,970"
822,43-3011,Bill and Account Collectors,"298,960","37,620","23,610","28,460","35,350","44,140","54,970"
823,43-3020,Billing and Posting Clerks,"485,220","37,570","25,450","29,950","36,150","43,910","52,150"
824,43-3021,Billing and Posting Clerks,"485,220","37,570","25,450","29,950","36,150","43,910","52,150"
825,43-3030,"Bookkeeping, Accounting, and Auditing Clerks","1,566,960","40,220","23,880","30,640","38,390","48,440","59,630"
826,43-3031,"Bookkeeping, Accounting, and Auditing Clerks","1,566,960","40,220","23,880","30,640","38,390","48,440","59,630"
827,43-3040,Gaming Cage Workers,"18,810","28,120","19,750","21,880","25,990","32,840","40,640"
828,43-3041,Gaming Cage Workers,"18,810","28,120","19,750","21,880","25,990","32,840","40,640"
829,43-3050,Payroll and Timekeeping Clerks,"159,650","43,580","27,200","34,100","42,390","51,480","62,030"
830,43-3051,Payroll and Timekeeping Clerks,"159,650","43,580","27,200","34,100","42,390","51,480","62,030"
831,43-3060,Procurement Clerks,"72,120","41,980","26,880","33,560","41,410","49,390","58,110"
832,43-3061,Procurement Clerks,"72,120","41,980","26,880","33,560","41,410","49,390","58,110"
833,43-3070,Tellers,"496,760","28,060","20,810","23,230","27,260","31,500","37,760"
834,43-3071,Tellers,"496,760","28,060","20,810","23,230","27,260","31,500","37,760"
835,43-3090,Miscellaneous Financial Clerks,"34,540","41,870","26,120","32,140","39,540","49,570","60,950"
836,43-3099,"Financial Clerks, All Other","34,540","41,870","26,120","32,140","39,540","49,570","60,950"
837,43-4000,Information and Record Clerks,"5,630,810","34,370","20,380","24,810","31,690","40,850","52,170"
838,43-4010,Brokerage Clerks,"59,820","52,380","33,100","40,130","49,200","61,130","76,390"
839,43-4011,Brokerage Clerks,"59,820","52,380","33,100","40,130","49,200","61,130","76,390"
840,43-4020,Correspondence Clerks,"6,780","37,660","24,340","29,230","36,370","45,140","53,630"
841,43-4021,Correspondence Clerks,"6,780","37,660","24,340","29,230","36,370","45,140","53,630"
842,43-4030,"Court, Municipal, and License Clerks","128,620","39,160","23,880","29,250","36,670","46,540","57,420"
843,43-4031,"Court, Municipal, and License Clerks","128,620","39,160","23,880","29,250","36,670","46,540","57,420"
844,43-4040,"Credit Authorizers, Checkers, and Clerks","37,680","39,320","24,890","29,650","36,930","47,100","58,800"
845,43-4041,"Credit Authorizers, Checkers, and Clerks","37,680","39,320","24,890","29,650","36,930","47,100","58,800"
846,43-4050,Customer Service Representatives,"2,707,040","35,170","20,810","25,520","32,300","41,430","53,730"
847,43-4051,Customer Service Representatives,"2,707,040","35,170","20,810","25,520","32,300","41,430","53,730"
848,43-4060,"Eligibility Interviewers, Government Programs","135,940","43,550","29,660","34,420","43,350","52,350","58,810"
849,43-4061,"Eligibility Interviewers, Government Programs","135,940","43,550","29,660","34,420","43,350","52,350","58,810"
850,43-4070,File Clerks,"130,950","31,260","19,830","23,170","29,090","37,130","47,410"
851,43-4071,File Clerks,"130,950","31,260","19,830","23,170","29,090","37,130","47,410"
852,43-4080,"Hotel, Motel, and Resort Desk Clerks","248,440","23,530","17,470","19,190","22,070","25,750","31,850"
853,43-4081,"Hotel, Motel, and Resort Desk Clerks","248,440","23,530","17,470","19,190","22,070","25,750","31,850"
854,43-4110,"Interviewers, Except Eligibility and Loan","186,030","33,640","21,400","26,290","32,150","39,250","48,420"
855,43-4111,"Interviewers, Except Eligibility and Loan","186,030","33,640","21,400","26,290","32,150","39,250","48,420"
856,43-4120,"Library Assistants, Clerical","98,560","27,450","18,220","20,190","25,220","32,400","40,540"
857,43-4121,"Library Assistants, Clerical","98,560","27,450","18,220","20,190","25,220","32,400","40,540"
858,43-4130,Loan Interviewers and Clerks,"224,340","40,300","24,710","31,110","38,630","48,310","58,630"
859,43-4131,Loan Interviewers and Clerks,"224,340","40,300","24,710","31,110","38,630","48,310","58,630"
860,43-4140,New Accounts Clerks,"41,630","36,480","25,990","29,390","34,990","41,260","50,010"
861,43-4141,New Accounts Clerks,"41,630","36,480","25,990","29,390","34,990","41,260","50,010"
862,43-4150,Order Clerks,"176,850","35,160","20,820","25,960","33,370","42,010","52,130"
863,43-4151,Order Clerks,"176,850","35,160","20,820","25,960","33,370","42,010","52,130"
864,43-4160,"Human Resources Assistants, Except Payroll and Timekeeping","137,150","40,100","25,860","32,190","39,020","47,560","56,440"
865,43-4161,"Human Resources Assistants, Except Payroll and Timekeeping","137,150","40,100","25,860","32,190","39,020","47,560","56,440"
866,43-4170,Receptionists and Information Clerks,"997,770","29,120","19,530","22,700","27,920","34,280","40,380"
867,43-4171,Receptionists and Information Clerks,"997,770","29,120","19,530","22,700","27,920","34,280","40,380"
868,43-4180,Reservation and Transportation Ticket Agents and Travel Clerks,"146,350","38,050","21,440","25,840","35,230","51,490","59,270"
869,43-4181,Reservation and Transportation Ticket Agents and Travel Clerks,"146,350","38,050","21,440","25,840","35,230","51,490","59,270"
870,43-4190,Miscellaneous Information and Record Clerks,"166,850","40,090","24,830","30,760","39,260","48,040","56,650"
871,43-4199,"Information and Record Clerks, All Other","166,850","40,090","24,830","30,760","39,260","48,040","56,650"
872,43-5000,"Material Recording, Scheduling, Dispatching, and Distributing Workers","4,101,520","34,150","19,220","22,490","30,430","42,010","57,970"
873,43-5010,Cargo and Freight Agents,"88,920","44,250","24,660","32,630","41,920","53,100","64,340"
874,43-5011,Cargo and Freight Agents,"88,920","44,250","24,660","32,630","41,920","53,100","64,340"
875,43-5020,Couriers and Messengers,"74,120","29,920","19,260","22,330","28,170","35,800","44,440"
876,43-5021,Couriers and Messengers,"74,120","29,920","19,260","22,330","28,170","35,800","44,440"
877,43-5030,Dispatchers,"293,090","41,150","23,760","29,710","38,260","49,590","62,640"
878,43-5031,"Police, Fire, and Ambulance Dispatchers","95,170","41,070","25,100","30,830","38,870","49,570","61,270"
879,43-5032,"Dispatchers, Except Police, Fire, and Ambulance","197,910","41,190","23,260","29,200","37,940","49,600","63,420"
880,43-5040,"Meter Readers, Utilities","34,070","41,890","22,950","28,630","38,940","52,500","65,970"
881,43-5041,"Meter Readers, Utilities","34,070","41,890","22,950","28,630","38,940","52,500","65,970"
882,43-5050,Postal Service Workers,"521,750","50,070","33,410","36,820","56,790","59,850","59,860"
883,43-5051,Postal Service Clerks,"82,030","48,360","32,520","39,790","56,790","56,800","57,990"
884,43-5052,Postal Service Mail Carriers,"328,950","50,610","33,420","36,800","58,110","59,860","61,100"
885,43-5053,"Postal Service Mail Sorters, Processors, and Processing Machine Operators","110,770","49,710","32,510","38,250","56,220","56,800","57,300"
886,43-5060,"Production, Planning, and Expediting Clerks","321,780","49,050","28,140","35,770","46,760","59,560","74,340"
887,43-5061,"Production, Planning, and Expediting Clerks","321,780","49,050","28,140","35,770","46,760","59,560","74,340"
888,43-5070,"Shipping, Receiving, and Traffic Clerks","676,990","33,150","21,010","25,190","31,180","39,010","48,760"
889,43-5071,"Shipping, Receiving, and Traffic Clerks","676,990","33,150","21,010","25,190","31,180","39,010","48,760"
890,43-5080,Stock Clerks and Order Fillers,"2,016,340","26,670","18,190","20,190","23,840","30,760","39,750"
891,43-5081,Stock Clerks and Order Fillers,"2,016,340","26,670","18,190","20,190","23,840","30,760","39,750"
892,43-5110,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping","74,460","31,080","19,610","22,510","28,790","37,260","47,280"
893,43-5111,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping","74,460","31,080","19,610","22,510","28,790","37,260","47,280"
894,43-6000,Secretaries and Administrative Assistants,"3,675,140","40,330","22,930","28,960","37,230","48,830","62,230"
895,43-6010,Secretaries and Administrative Assistants,"3,675,140","40,330","22,930","28,960","37,230","48,830","62,230"
896,43-6011,Executive Secretaries and Executive Administrative Assistants,"631,610","57,910","34,880","43,770","55,860","70,190","83,070"
897,43-6012,Legal Secretaries,"191,200","47,900","26,970","33,510","44,180","59,410","75,530"
898,43-6013,Medical Secretaries,"556,820","35,060","23,220","27,710","33,730","40,400","49,730"
899,43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","2,295,510","36,140","21,470","27,320","34,820","43,920","53,060"
900,43-9000,Other Office and Administrative Support Workers,"3,940,510","33,930","19,680","24,130","31,590","40,550","51,400"
901,43-9010,Computer Operators,"46,810","43,880","24,360","32,120","42,270","55,730","63,430"
902,43-9011,Computer Operators,"46,810","43,880","24,360","32,120","42,270","55,730","63,430"
903,43-9020,Data Entry and Information Processing Workers,"262,040","33,780","21,290","26,010","31,980","39,610","49,030"
904,43-9021,Data Entry Keyers,"194,810","31,640","20,810","24,840","30,100","37,150","45,360"
905,43-9022,Word Processors and Typists,"67,230","39,970","26,140","32,030","38,740","47,110","55,810"
906,43-9030,Desktop Publishers,"13,090","44,380","23,230","31,920","41,090","55,280","70,290"
907,43-9031,Desktop Publishers,"13,090","44,380","23,230","31,920","41,090","55,280","70,290"
908,43-9040,Insurance Claims and Policy Processing Clerks,"274,350","40,780","26,510","31,700","38,430","48,000","59,310"
909,43-9041,Insurance Claims and Policy Processing Clerks,"274,350","40,780","26,510","31,700","38,430","48,000","59,310"
910,43-9050,"Mail Clerks and Mail Machine Operators, Except Postal Service","91,530","30,580","19,110","22,750","29,160","36,940","45,220"
911,43-9051,"Mail Clerks and Mail Machine Operators, Except Postal Service","91,530","30,580","19,110","22,750","29,160","36,940","45,220"
912,43-9060,"Office Clerks, General","2,955,550","33,010","19,300","23,300","30,580","39,530","50,410"
913,43-9061,"Office Clerks, General","2,955,550","33,010","19,300","23,300","30,580","39,530","50,410"
914,43-9070,"Office Machine Operators, Except Computer","58,160","32,390","20,530","24,340","30,460","38,470","48,240"
915,43-9071,"Office Machine Operators, Except Computer","58,160","32,390","20,530","24,340","30,460","38,470","48,240"
916,43-9080,Proofreaders and Copy Markers,"11,430","39,640","21,660","28,150","36,960","48,350","60,530"
917,43-9081,Proofreaders and Copy Markers,"11,430","39,640","21,660","28,150","36,960","48,350","60,530"
918,43-9110,Statistical Assistants,"10,900","48,300","30,190","37,370","46,850","58,260","69,480"
919,43-9111,Statistical Assistants,"10,900","48,300","30,190","37,370","46,850","58,260","69,480"
920,43-9190,Miscellaneous Office and Administrative Support Workers,"216,650","36,040","20,170","24,630","34,020","43,660","55,210"
921,43-9199,"Office and Administrative Support Workers, All Other","216,650","36,040","20,170","24,630","34,020","43,660","55,210"
922,45-0000,"Farming, Fishing, and Forestry Occupations","463,640","27,810","19,380","20,810","23,510","30,930","42,860"
923,45-1000,"Supervisors of Farming, Fishing, and Forestry Workers","19,550","48,820","26,570","33,380","45,320","59,770","76,270"
924,45-1010,"First-Line Supervisors of Farming, Fishing, and Forestry Workers","19,550","48,820","26,570","33,380","45,320","59,770","76,270"
925,45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers","19,550","48,820","26,570","33,380","45,320","59,770","76,270"
926,45-2000,Agricultural Workers,"397,630","25,570","19,160","20,810","22,740","27,570","36,680"
927,45-2010,Agricultural Inspectors,"14,710","44,260","26,580","32,320","42,800","52,060","63,840"
928,45-2011,Agricultural Inspectors,"14,710","44,260","26,580","32,320","42,800","52,060","63,840"
929,45-2020,Animal Breeders,"1,270","42,340","22,730","27,510","35,690","51,970","73,130"
930,45-2021,Animal Breeders,"1,270","42,340","22,730","27,510","35,690","51,970","73,130"
931,45-2040,"Graders and Sorters, Agricultural Products","38,780","24,280","18,260","20,430","22,520","26,240","33,750"
932,45-2041,"Graders and Sorters, Agricultural Products","38,780","24,280","18,260","20,430","22,520","26,240","33,750"
933,45-2090,Miscellaneous Agricultural Workers,"342,870","24,860","19,210","20,810","22,520","26,470","34,660"
934,45-2091,Agricultural Equipment Operators,"28,700","30,430","19,540","23,240","28,850","35,720","43,690"
935,45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse","273,450","23,820","19,450","20,810","22,000","24,660","30,940"
936,45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals","35,670","26,840","17,940","20,270","24,520","31,190","39,230"
937,45-2099,"Agricultural Workers, All Other","5,040","35,120","19,850","24,020","31,160","40,690","54,520"
938,45-3000,Fishing and Hunting Workers,650,"31,440","18,080","21,320","29,280","40,390","47,530"
939,45-3010,Fishers and Related Fishing Workers,520,"30,740","17,660","19,900","27,110","40,860","48,080"
940,45-3011,Fishers and Related Fishing Workers,520,"30,740","17,660","19,900","27,110","40,860","48,080"
941,45-4000,"Forest, Conservation, and Logging Workers","45,820","38,210","21,330","28,180","36,510","46,240","56,930"
942,45-4010,Forest and Conservation Workers,"7,170","31,200","19,100","20,400","26,940","38,700","49,150"
943,45-4011,Forest and Conservation Workers,"7,170","31,200","19,100","20,400","26,940","38,700","49,150"
944,45-4020,Logging Workers,"38,650","39,510","23,790","30,120","37,590","47,180","58,080"
945,45-4021,Fallers,"5,370","42,900","24,090","29,860","37,370","52,220","71,590"
946,45-4022,Logging Equipment Operators,"27,250","38,880","23,680","29,870","37,490","46,830","56,110"
947,45-4023,Log Graders and Scalers,"3,020","38,150","23,590","29,370","37,090","45,820","53,110"
948,45-4029,"Logging Workers, All Other","3,010","40,560","25,640","33,300","38,950","47,180","57,430"
949,47-0000,Construction and Extraction Occupations,"5,585,420","48,900","25,880","32,610","43,610","60,670","80,820"
950,47-1000,Supervisors of Construction and Extraction Workers,"538,220","68,040","40,010","50,190","62,980","81,400","102,880"
951,47-1010,First-Line Supervisors of Construction Trades and Extraction Workers,"538,220","68,040","40,010","50,190","62,980","81,400","102,880"
952,47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,"538,220","68,040","40,010","50,190","62,980","81,400","102,880"
953,47-2000,Construction Trades Workers,"4,216,890","47,580","25,840","32,290","42,310","58,890","78,750"
954,47-2010,Boilermakers,"16,660","62,200","37,690","49,610","62,060","75,500","85,800"
955,47-2011,Boilermakers,"16,660","62,200","37,690","49,610","62,060","75,500","85,800"
956,47-2020,"Brickmasons, Blockmasons, and Stonemasons","77,560","51,770","28,410","36,160","47,590","62,450","82,240"
957,47-2021,Brickmasons and Blockmasons,"64,370","53,440","30,070","37,590","49,250","64,110","84,100"
958,47-2022,Stonemasons,"13,190","43,650","23,650","30,230","39,780","51,810","65,790"
959,47-2030,Carpenters,"676,980","48,340","27,070","33,770","43,600","58,700","79,480"
960,47-2031,Carpenters,"676,980","48,340","27,070","33,770","43,600","58,700","79,480"
961,47-2040,"Carpet, Floor, and Tile Installers and Finishers","77,410","43,950","22,450","29,600","39,150","53,300","72,400"
962,47-2041,Carpet Installers,"25,660","44,310","20,810","27,660","38,280","54,560","80,440"
963,47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles","10,340","42,370","23,260","29,420","37,840","50,950","68,720"
964,47-2043,Floor Sanders and Finishers,"4,590","38,890","22,470","28,150","36,860","49,280","59,660"
965,47-2044,Tile and Marble Setters,"36,830","44,770","24,200","31,350","40,460","53,870","71,260"
966,47-2050,"Cement Masons, Concrete Finishers, and Terrazzo Workers","177,340","43,770","26,580","31,920","39,210","51,470","68,640"
967,47-2051,Cement Masons and Concrete Finishers,"173,920","43,720","26,590","31,920","39,180","51,430","68,470"
968,47-2053,Terrazzo Workers and Finishers,"3,420","45,990","25,980","31,610","40,930","54,680","75,470"
969,47-2060,Construction Laborers,"912,100","37,890","21,510","26,550","33,430","45,080","62,600"
970,47-2061,Construction Laborers,"912,100","37,890","21,510","26,550","33,430","45,080","62,600"
971,47-2070,Construction Equipment Operators,"412,190","49,810","29,030","35,170","45,040","60,610","79,700"
972,47-2071,"Paving, Surfacing, and Tamping Equipment Operators","51,880","43,800","26,150","31,560","38,970","51,100","70,270"
973,47-2072,Pile-Driver Operators,"3,570","61,740","31,740","40,000","55,070","85,400","98,840"
974,47-2073,Operating Engineers and Other Construction Equipment Operators,"356,750","50,560","29,730","35,760","45,890","61,480","80,200"
975,47-2080,"Drywall Installers, Ceiling Tile Installers, and Tapers","111,650","48,460","27,180","33,720","42,280","57,930","81,860"
976,47-2081,Drywall and Ceiling Tile Installers,"93,180","47,400","26,830","33,320","41,090","55,060","79,660"
977,47-2082,Tapers,"18,480","53,790","29,320","36,690","48,990","68,750","90,260"
978,47-2110,Electricians,"607,120","56,650","31,800","39,570","52,720","69,670","90,420"
979,47-2111,Electricians,"607,120","56,650","31,800","39,570","52,720","69,670","90,420"
980,47-2120,Glaziers,"47,140","47,260","26,820","33,340","41,920","56,620","81,050"
981,47-2121,Glaziers,"47,140","47,260","26,820","33,340","41,920","56,620","81,050"
982,47-2130,Insulation Workers,"56,770","45,070","25,720","31,360","39,280","53,080","75,010"
983,47-2131,"Insulation Workers, Floor, Ceiling, and Wall","29,500","39,490","23,380","28,570","35,660","45,880","61,520"
984,47-2132,"Insulation Workers, Mechanical","27,270","51,100","28,920","35,300","45,430","61,270","84,230"
985,47-2140,Painters and Paperhangers,"220,470","41,430","24,850","30,130","37,520","49,520","63,540"
986,47-2141,"Painters, Construction and Maintenance","217,280","41,510","24,860","30,190","37,570","49,610","63,670"
987,47-2142,Paperhangers,"3,190","36,470","24,250","27,950","33,770","42,690","53,560"
988,47-2150,"Pipelayers, Plumbers, Pipefitters, and Steamfitters","451,500","54,870","29,590","37,460","50,300","67,150","88,420"
989,47-2151,Pipelayers,"39,620","42,860","26,320","30,760","38,410","51,870","67,550"
990,47-2152,"Plumbers, Pipefitters, and Steamfitters","411,870","56,030","30,430","38,530","51,450","68,770","90,530"
991,47-2160,Plasterers and Stucco Masons,"22,810","44,070","26,820","32,560","38,890","50,850","71,290"
992,47-2161,Plasterers and Stucco Masons,"22,810","44,070","26,820","32,560","38,890","50,850","71,290"
993,47-2170,Reinforcing Iron and Rebar Workers,"20,020","53,600","29,720","35,650","47,600","67,340","89,980"
994,47-2171,Reinforcing Iron and Rebar Workers,"20,020","53,600","29,720","35,650","47,600","67,340","89,980"
995,47-2180,Roofers,"116,410","42,080","25,040","30,110","37,760","49,980","64,630"
996,47-2181,Roofers,"116,410","42,080","25,040","30,110","37,760","49,980","64,630"
997,47-2210,Sheet Metal Workers,"134,450","51,080","26,640","34,320","46,940","62,820","85,340"
998,47-2211,Sheet Metal Workers,"134,450","51,080","26,640","34,320","46,940","62,820","85,340"
999,47-2220,Structural Iron and Steel Workers,"69,440","56,040","30,440","37,290","51,800","71,220","91,830"
1000,47-2221,Structural Iron and Steel Workers,"69,440","56,040","30,440","37,290","51,800","71,220","91,830"
1001,47-2230,Solar Photovoltaic Installers,"8,870","42,500","27,970","33,050","39,240","48,850","60,570"
1002,47-2231,Solar Photovoltaic Installers,"8,870","42,500","27,970","33,050","39,240","48,850","60,570"
1003,47-3000,"Helpers, Construction Trades","228,590","30,900","20,290","23,970","29,180","36,090","44,390"
1004,47-3010,"Helpers, Construction Trades","228,590","30,900","20,290","23,970","29,180","36,090","44,390"
1005,47-3011,"Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters","23,950","33,610","21,360","25,590","30,570","38,210","49,990"
1006,47-3012,Helpers--Carpenters,"35,890","30,200","19,690","23,210","28,810","35,720","43,030"
1007,47-3013,Helpers--Electricians,"71,890","30,980","20,110","24,120","29,530","36,460","44,450"
1008,47-3014,"Helpers--Painters, Paperhangers, Plasterers, and Stucco Masons","10,780","28,760","20,370","22,700","27,310","32,390","39,670"
1009,47-3015,"Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters","54,080","30,640","20,570","24,220","29,030","35,610","43,470"
1010,47-3016,Helpers--Roofers,"10,190","28,890","20,330","23,190","27,670","32,930","39,110"
1011,47-3019,"Helpers, Construction Trades, All Other","21,820","31,450","20,000","23,680","29,270","36,710","46,220"
1012,47-4000,Other Construction and Related Workers,"403,940","47,670","26,000","32,720","42,960","58,370","78,020"
1013,47-4010,Construction and Building Inspectors,"94,960","61,250","34,830","45,010","58,480","75,250","94,220"
1014,47-4011,Construction and Building Inspectors,"94,960","61,250","34,830","45,010","58,480","75,250","94,220"
1015,47-4020,Elevator Installers and Repairers,"22,240","76,860","37,890","56,060","78,890","97,670","114,980"
1016,47-4021,Elevator Installers and Repairers,"22,240","76,860","37,890","56,060","78,890","97,670","114,980"
1017,47-4030,Fence Erectors,"21,500","36,380","21,800","26,810","33,150","40,830","58,080"
1018,47-4031,Fence Erectors,"21,500","36,380","21,800","26,810","33,150","40,830","58,080"
1019,47-4040,Hazardous Materials Removal Workers,"44,280","45,500","26,630","32,250","40,640","56,210","74,160"
